Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
jitwatch,org.adoptopenjdk.jitwatch.model,CompilerName,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
jitwatch,org.adoptopenjdk.jitwatch.model,CompilerName,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jitwatch,org.adoptopenjdk.jitwatch.model,EliminatedAllocation,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jitwatch,org.adoptopenjdk.jitwatch.model,EventType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: text
jitwatch,org.adoptopenjdk.jitwatch.model,JITDataModel,Feature Envy,The tool detected a instance of this smell because updateStats is more interested in members of the type: JITStats
jitwatch,org.adoptopenjdk.jitwatch.model,JITDataModel,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 22 public methods
jitwatch,org.adoptopenjdk.jitwatch.model,JITStats,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 43 public methods
jitwatch,org.adoptopenjdk.jitwatch.model,MemberSignatureParts,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
jitwatch,org.adoptopenjdk.jitwatch.model,MetaClass,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 25 public methods
jitwatch,org.adoptopenjdk.jitwatch.model,MetaConstructor,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractMetaMember
jitwatch,org.adoptopenjdk.jitwatch.model,MetaMethod,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractMetaMember
jitwatch,org.adoptopenjdk.jitwatch.model,Tag,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 20 public methods
jitwatch,org.adoptopenjdk.jitwatch.model,Task,Feature Envy,The tool detected a instance of this smell because decodeParseMethod is more interested in members of the type: IParseDictionary
jitwatch,org.adoptopenjdk.jitwatch.model,Task,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Tag
jitwatch,org.adoptopenjdk.jitwatch.model.assembly,AbstractAssemblyParser,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jitwatch,org.adoptopenjdk.jitwatch.model.assembly,Architecture,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: ARCH_X86_32; ARCH_X86_64; ARCH_AMD_64; ARCH_ARM_32; ARCH_ARM_64
jitwatch,org.adoptopenjdk.jitwatch.model.assembly,Architecture,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: ARCH_X86_32; ARCH_X86_64; ARCH_AMD_64; ARCH_ARM_32; ARCH_ARM_64
jitwatch,org.adoptopenjdk.jitwatch.model.assembly,AssemblyBlock,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: IAssemblyParser; AssemblyMethod; AssemblyBlock; AssemblyInstruction; AssemblyLabels; AssemblyUtil
jitwatch,org.adoptopenjdk.jitwatch.model.assembly.arm,AssemblyParserARM,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jitwatch,org.adoptopenjdk.jitwatch.model.assembly.x86,AssemblyParserX86,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jitwatch,org.adoptopenjdk.jitwatch.model.bytecode,BCAnnotationType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
jitwatch,org.adoptopenjdk.jitwatch.model.bytecode,BCParamConstant,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jitwatch,org.adoptopenjdk.jitwatch.model.bytecode,BCParamString,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jitwatch,org.adoptopenjdk.jitwatch.model.bytecode,BytecodeAnnotations,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: ParseUtil; IReadOnlyJITDataModel; PackageManager; MetaClass; MetaPackage; ClassBC; MemberBytecode; LineTable; MemberSignatureParts; BytecodeAnnotations; IMetaMember; Compilation; Task; CompilerThread; BytecodeLoader; SourceMapper
jitwatch,org.adoptopenjdk.jitwatch.model.bytecode,ClassBC,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 23 public methods
jitwatch,org.adoptopenjdk.jitwatch.model.bytecode,ConstantPool,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
jitwatch,org.adoptopenjdk.jitwatch.model.bytecode,Opcode,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: code; mnemonic; mnemonicMap; opcodeMap
jitwatch,org.adoptopenjdk.jitwatch.parser,AbstractLogParser,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jitwatch,org.adoptopenjdk.jitwatch.parser,AbstractLogParser,Feature Envy,The tool detected a instance of this smell because logSplitStats is more interested in members of the type: SplitLog
jitwatch,org.adoptopenjdk.jitwatch.parser,AbstractLogParser,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 35 methods
jitwatch,org.adoptopenjdk.jitwatch.parser,ParserType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
jitwatch,org.adoptopenjdk.jitwatch.parser.hotspot,HotSpotLogParser,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jitwatch,org.adoptopenjdk.jitwatch.parser.j9,J9Line,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TEMPERATURE_COLD; TEMPERATURE_WARM; TEMPERATURE_PROFILED_VERY_HOT; temperature; signature; rangeStart; rangeEnd; attributes; features
jitwatch,org.adoptopenjdk.jitwatch.parser.j9,J9Line,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: J9Util; J9Line
jitwatch,org.adoptopenjdk.jitwatch.parser.j9,J9LogParser,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jitwatch,org.adoptopenjdk.jitwatch.parser.zing,ZingLine,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 33 public methods
jitwatch,org.adoptopenjdk.jitwatch.parser.zing,ZingLineType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
jitwatch,org.adoptopenjdk.jitwatch.process,AbstractProcess,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
