Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
jitwatch,(default package),PolymorphismTest,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: moneyBox
jitwatch,(default package),Sort,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ARRAY_LENGTH
jitwatch,org.adoptopenjdk.jitwatch.test,TestAssemblyProcessor,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
jitwatch,org.adoptopenjdk.jitwatch.test,TestBytecodeAnnotationBuilder,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 15
jitwatch,org.adoptopenjdk.jitwatch.test,TestBytecodeLoader,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 16
jitwatch,org.adoptopenjdk.jitwatch.test,TestJarScan,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: SHOW_OUTPUT
jitwatch,org.adoptopenjdk.jitwatch.test,TestMemberSignatureParts,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: timestamp
jitwatch,org.adoptopenjdk.jitwatch.test,TestParseUtil,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
jitwatch,org.adoptopenjdk.jitwatch.test,UnitTestUtil,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: unhandledTags
jitwatch,org.adoptopenjdk.jitwatch.test,UnitTestUtil,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 19
jitwatch,org.adoptopenjdk.jitwatch.sandbox,Sandbox,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: SANDBOX_DIR; SANDBOX_SOURCE_DIR; SANDBOX_CLASS_DIR; PATH_STD_ERR; PATH_STD_OUT
jitwatch,org.adoptopenjdk.jitwatch.sandbox,Sandbox,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 15
jitwatch,org.adoptopenjdk.jitwatch.ui.compilechain,CompileChainStage,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
jitwatch,org.adoptopenjdk.jitwatch.ui.graphing,TimeLineStage,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
jitwatch,org.adoptopenjdk.jitwatch.ui.main,JITWatchUI,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: WINDOW_WIDTH; WINDOW_HEIGHT; IS_JAVA_FX2
jitwatch,org.adoptopenjdk.jitwatch.ui.main,JITWatchUI,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 38
jitwatch,org.adoptopenjdk.jitwatch.ui.report,ReportStage,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
jitwatch,org.adoptopenjdk.jitwatch.ui.sandbox,SandboxStage,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 17
jitwatch,org.adoptopenjdk.jitwatch.ui.triview.assembly,ViewerAssembly,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
jitwatch,org.adoptopenjdk.jitwatch.ui.triview.bytecode,ViewerBytecode,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 20
jitwatch,org.adoptopenjdk.jitwatch.ui.triview,TriView,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 28
jitwatch,org.adoptopenjdk.jitwatch.ui.triview,Viewer,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: COLOUR_BLACK; COLOUR_RED; COLOUR_GREEN; COLOUR_BLUE; STYLE_UNHIGHLIGHTED; STYLE_HIGHLIGHTED; STYLE_UNHIGHLIGHTED_SUGGESTION; STYLE_SAFEPOINT; STYLE_HIGHLIGHTED_RANGE
